title,type,genres1,genres2,genres3,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries1
My Bloody Valentine,movie,Horror, Mystery, Thriller,2009,tt1179891,5.4,61587,AR
Ella Enchanted,movie,Comedy, Family, Fantasy,2004,tt0327679,6.3,76583,CA
Jaane Tu... Ya Jaane Na,movie,Comedy, Drama, Romance,2008,tt0473367,7.4,28585,TZ
Adventures of Ali-Baba and the Forty Thieves,movie,Action, Adventure, Family,1980,tt0079749,6.2,659,AD
Rudy,movie,Biography, Drama, Sport,1993,tt0108002,7.5,70372,AU
Paul Blart: Mall Cop,movie,Action, Comedy, Crime,2009,tt1114740,5.3,119264,AE
Passchendaele,movie,Drama, History, Romance,2008,tt1092082,6.4,8918,CA
The Condemned,movie,Action, Crime, Thriller,2007,tt0443473,6,54831,AD
Soul Men,movie,Comedy, Drama, Music,2008,tt1111948,6.4,11867,BE
Dil Chahta Hai,movie,Comedy, Drama, Romance,2001,tt0292490,8.1,76845,AD
Ip Man,movie,Action, Biography, Drama,2008,tt1220719,8,236003,HK
Warriors of Heaven and Earth,movie,Action, Adventure, Drama,2003,tt0374330,6.3,4464,BE
Coraline,movie,Animation, Drama, Family,2009,tt0327597,7.8,276318,JP
Little Black Book,movie,Comedy, Drama, Romance,2004,tt0361841,5.3,19274,AO
Anaconda 3: Offspring,movie,Action, Adventure, Horror,2008,tt1137996,2.8,8845,DZ
G.I. Joe: The Rise of Cobra,movie,Action, Adventure, Sci-Fi,2009,tt1046173,5.7,216514,JP
Sid and Nancy,movie,Biography, Drama, Music,1986,tt0091954,7,35321,BG
Crows Zero,movie,Action, Comedy, Crime,2007,tt1016290,7,9083,JP
Welcome to Dongmakgol,movie,Comedy, Drama, War,2005,tt0475783,7.6,7646,KR
The Code,movie,Action, Crime, Thriller,2009,tt1112782,6,36224,IT
Number 17,movie,Crime, Mystery, Thriller,1932,tt0023285,5.7,5583,BG
Bon Cop Bad Cop,movie,Action, Comedy, Crime,2006,tt0479647,6.7,13274,AD
The Good the Bad the Weird,movie,Action, Adventure, Comedy,2008,tt0901487,7.2,38409,KR
Extreme Ops,movie,Action, Adventure, Thriller,2002,tt0283160,4.4,5759,SK
Only Yesterday,movie,Animation, Drama, Romance,1991,tt0102587,7.6,38646,AD
Crank: High Voltage,movie,Action, Crime, Thriller,2009,tt1121931,6.1,161395,TW
"OSS 117: Cairo, Nest of Spies",movie,Action, Adventure, Comedy,2006,tt0464913,7,23651,FR
Everyone's Hero,movie,Adventure, Animation, Comedy,2006,tt0430779,5.7,9859,AO
This Christmas,movie,Comedy, Drama, Romance,2007,tt0937375,6.4,10536,BE
The Red Balloon,movie,Comedy, Drama, Family,1956,tt0048980,8.1,20552,LV
Pom Poko,movie,Animation, Comedy, Drama,1994,tt0110008,7.3,35785,AD
Something New,movie,Comedy, Drama, Romance,2006,tt0437777,6.6,15044,AD
The Cat Returns,movie,Adventure, Animation, Comedy,2002,tt0347618,7.1,66750,AD
Red Cliff II,movie,Action, Adventure, Drama,2009,tt1326972,7.5,25674,KR
Crossroads,movie,Drama, Music, Mystery,1986,tt0090888,7.1,18078,JP
Kabhi Haan Kabhi Naa,movie,Comedy, Drama, Music,1994,tt0110222,7.6,19690,AD
Crime Is Our Business,movie,Comedy, Crime, Mystery,2008,tt1206478,6,1207,CY
Kismat Konnection,movie,Comedy, Drama, Romance,2008,tt1105733,5.3,6199,AE
The Bank,movie,Drama, Romance, Thriller,2001,tt0241223,6.5,3053,AU
Bleach: Memories of Nobody,movie,Action, Adventure, Animation,2006,tt1105263,7.1,5030,JP
OSS 117: Lost in Rio,movie,Action, Adventure, Comedy,2009,tt1167660,6.8,16867,FR
The Perfect Man,movie,Comedy, Family, Romance,2005,tt0380623,5.4,32381,AZ
84 Charing Cross Road,movie,Biography, Drama, Romance,1987,tt0090570,7.4,11556,AD
Annie,movie,Comedy, Drama, Family,1982,tt0083564,6.6,50559,AD
Dark Blue World,movie,Action, Drama, Romance,2001,tt0244479,7.1,6164,CZ
Ambulance,movie,Action, Crime, Drama,2005,tt0400156,5.4,1687,AT
The Black Madonna,movie,Action, Comedy, Drama,2007,tt0890886,5.2,1087,AT
Dragon Tiger Gate,movie,Action, Fantasy, Thriller,2006,tt0482930,6.1,7234,KR
Twins Mission,movie,Action, Comedy, Crime,2007,tt0934949,5.2,764,AL
Terribly Happy,movie,Crime, Drama, Thriller,2008,tt1087890,6.7,7172,AT
Murk,movie,Drama, Mystery, Thriller,2005,tt0432972,6.7,4159,AT
Oye Lucky! Lucky Oye!,movie,Comedy, Crime, Drama,2008,tt1292703,7.7,18369,AE
Dev.D,movie,Comedy, Drama, Romance,2009,tt1327035,7.9,32685,AD
Kurt Turns Evil,movie,Animation, Comedy, Family,2008,tt1245891,6.3,1066,AT
Death Note,movie,Crime, Drama, Fantasy,2006,tt0758742,7.5,32270,JP
With Your Permission,movie,Comedy, Drama, Romance,2007,tt0867609,5.7,901,AT
Selena,movie,Biography, Drama, Music,1997,tt0120094,6.9,32313,FJ
My Little Eye,movie,Horror, Mystery, Thriller,2002,tt0280969,5.5,13031,BG
The Adventures of Elmo in Grouchland,movie,Adventure, Comedy, Family,1999,tt0159421,5.8,3834,AU
Playing Beatie Bow,movie,Family, Fantasy, Mystery,1986,tt0091766,5.7,368,AU
Twin Sisters,movie,Drama, Romance, War,2002,tt0322674,7.4,7357,BE
R-Point,movie,Action, Horror, War,2004,tt0417072,6.2,5914,KR
Death Note: The Last Name,movie,Adventure, Crime, Drama,2006,tt0810827,7.2,17872,JP
Mobile Suit Gundam: Char's Counterattack,movie,Action, Animation, Drama,1988,tt0095262,7.3,2170,AD
Baby Boy,movie,Crime, Drama, Romance,2001,tt0255819,6.5,17106,AO
Diary of a Mad Black Woman,movie,Comedy, Drama, Romance,2005,tt0422093,5.7,16180,GB
My Neighbors the Yamadas,movie,Animation, Comedy, Family,1999,tt0206013,7.1,16489,AD
Gladiator,movie,Action, Drama, Sport,1992,tt0104346,6.5,10749,AD
Whatever It Takes,movie,Comedy, Drama, Romance,2000,tt0202402,5.5,12321,AE
God of Gamblers,movie,Action, Adventure, Comedy,1989,tt0097244,7.2,6615,HK
The Blue Elephant,movie,Adventure, Animation, Family,2006,tt0815890,5.7,1395,ID
Jackass 3D,movie,Action, Comedy, Documentary,2010,tt1116184,7,69292,PS
Serenity,movie,Action, Adventure, Sci-Fi,2005,tt0379786,7.8,308239,CI
Daleks' Invasion Earth 2150 A.D.,movie,Adventure, Drama, Sci-Fi,1966,tt0060278,5.9,4654,CY
Hobson's Choice,movie,Comedy, Drama, Romance,1954,tt0047094,7.7,9092,BG
Initial D,movie,Action, Comedy, Drama,2005,tt0439630,6.3,9936,KR
Spitfire,movie,Adventure, Biography, Drama,1942,tt0034734,7,2195,AT
The Magic Roundabout,movie,Adventure, Animation, Comedy,2005,tt0339334,5.2,3806,AG
Gympl,movie,Comedy, Crime, Drama,2007,tt0471725,6.3,1149,CZ
Astro Boy,movie,Action, Adventure, Animation,2009,tt0375568,6.2,40638,AE
La Bamba,movie,Biography, Drama, Music,1987,tt0093378,6.9,37271,CA
Protégé,movie,Crime, Drama, Thriller,2007,tt0841150,7.2,5841,KR
My Brilliant Career,movie,Biography, Drama, Romance,1979,tt0079596,7.1,4943,AU
All About Lily Chou-Chou,movie,Crime, Drama, Music,2001,tt0297721,7.5,11941,TH
Muay Thai Fighter,movie,Action, Drama, Thriller,2007,tt1090782,6.2,795,TH
A Movie of Eggs,movie,Animation, Comedy, Family,2005,tt0824696,6.5,1459,AR
Doomsday: The Sinking of Japan,movie,Adventure, Drama, Sci-Fi,2006,tt0473064,5.6,1559,KR
Love & Dance,movie,Drama, Music, Romance,2006,tt0814197,6.9,307,IL
Kiki's Delivery Service,movie,Animation, Family, Fantasy,1989,tt0097814,7.8,171735,AD
Inglourious Basterds,movie,Adventure, Drama, War,2009,tt0361748,8.4,1627401,CA
The Guard Post,movie,Horror, Mystery, Thriller,2008,tt1064953,5.8,1926,KR
Naruto the Movie: Ninja Clash in the Land of Snow,movie,Action, Adventure, Animation,2004,tt0476680,6.6,8345,AG
Naruto the Movie 2: Legend of the Stone of Gelel,movie,Action, Adventure, Animation,2005,tt0791188,6.4,5346,AG
The Colditz Story,movie,Drama, History, War,1955,tt0047945,6.9,3164,BG
Last Holiday,movie,Comedy, Drama, Romance,1950,tt0042665,7.3,2160,BG
Accumulator 1,movie,Comedy, Fantasy, Romance,1994,tt0109071,7,1646,CZ
17 Again,movie,Comedy, Drama, Fantasy,2009,tt0974661,6.4,220530,AT
Att angöra en brygga,movie,Comedy, Drama, Romance,1965,tt0058926,6.7,2780,AT
Bleach the Movie 2: The DiamondDust Rebellion,movie,Action, Animation, Mystery,2007,tt1148261,7,3610,JP
Kung Fu Dunk,movie,Action, Comedy, Sport,2008,tt0848538,4.8,3779,ID
Shutter,movie,Horror, Mystery, Thriller,2004,tt0440803,7,50478,KR
Crossroads,movie,Comedy, Drama, Romance,2002,tt0275022,3.8,45121,AD
"Bleach: Fade to Black, I Call Your Name",movie,Action, Animation, Drama,2008,tt1339302,7.1,2794,JP
Why Did I Get Married?,movie,Comedy, Drama, Romance,2007,tt0906108,5.9,14122,AR
Summer Days with Coo,movie,Adventure, Animation, Comedy,2007,tt1179773,7.4,2205,KR
Obsessed,movie,Drama, Romance, Thriller,2009,tt1198138,5,34760,AO
Don,movie,Action, Crime, Thriller,2006,tt0461936,7.1,41757,AD
The Adventures of Tintin,movie,Action, Adventure, Animation,2011,tt0983193,7.3,246245,AD
Naruto Shippuden: The Movie - Bonds,movie,Action, Animation, Fantasy,2008,tt1160524,6.8,5490,AG
Rough Cut,movie,Action, Crime, Drama,2008,tt1345734,7,3041,KR
Jaws 3-D,movie,Adventure, Horror, Thriller,1983,tt0085750,3.7,49527,US
Stormforce,movie,Action, Adventure, Drama,2006,tt0480854,6,892,AT
A Frozen Flower,movie,Drama, History, Romance,2008,tt1155053,7.1,5296,TW
Dance with Me,movie,Drama, Music, Romance,1998,tt0120576,5.9,6974,BE
Gossip,movie,Drama, Mystery, Thriller,2000,tt0176783,5.9,17816,CH
Izzat,movie,Action, Crime, Thriller,2005,tt0469443,6.3,2302,AT
The Elementary School,movie,Adventure, Comedy, Drama,1991,tt0102571,7.7,3297,CZ
An Inspector Calls,movie,Crime, Drama, Mystery,1954,tt0047119,7.5,5442,BG
If You Are the One,movie,Comedy, Drama, Romance,2008,tt1330607,6.8,3857,HK
